Timestamp,Elapsed_Seconds,Capacitance
2025-11-25 12:08:57.725748,0.0282,371.0
2025-11-25 12:08:57.771558,0.074,384.0
2025-11-25 12:08:57.827129,0.1296,380.0
2025-11-25 12:08:57.875289,0.1778,373.0
2025-11-25 12:08:57.932110,0.2346,396.0
2025-11-25 12:08:57.975456,0.2779,380.0
2025-11-25 12:08:58.020948,0.3234,375.0
2025-11-25 12:08:58.075523,0.378,375.0
2025-11-25 12:08:58.122148,0.4246,378.0
2025-11-25 12:08:58.178897,0.4814,387.0
2025-11-25 12:08:58.222075,0.5245,382.0
2025-11-25 12:08:58.279524,0.582,380.0
2025-11-25 12:08:58.327197,0.6297,389.0
2025-11-25 12:08:58.370576,0.673,373.0
2025-11-25 12:08:58.426269,0.7287,378.0
2025-11-25 12:08:58.475768,0.7782,378.0
2025-11-25 12:08:58.529391,0.8319,399.0
2025-11-25 12:08:58.574634,0.8771,419.0
2025-11-25 12:08:58.620265,0.9227,484.0
2025-11-25 12:08:58.677652,0.9801,438.0
2025-11-25 12:08:58.722667,1.0251,474.0
2025-11-25 12:08:58.769395,1.0719,378.0
2025-11-25 12:08:58.826408,1.1289,389.0
2025-11-25 12:08:58.876136,1.1786,403.0
2025-11-25 12:08:58.929045,1.2315,382.0
2025-11-25 12:08:58.974578,1.277,378.0
2025-11-25 12:08:59.022075,1.3245,382.0
2025-11-25 12:08:59.078228,1.3807,384.0
2025-11-25 12:08:59.128916,1.4314,378.0
2025-11-25 12:08:59.172270,1.4747,378.0
2025-11-25 12:08:59.228705,1.5312,387.0
2025-11-25 12:08:59.276507,1.579,389.0
2025-11-25 12:08:59.329999,1.6325,384.0
2025-11-25 12:08:59.376464,1.6789,389.0
2025-11-25 12:08:59.432285,1.7347,435.0
2025-11-25 12:08:59.470904,1.7734,501.0
2025-11-25 12:08:59.526072,1.8285,477.0
2025-11-25 12:08:59.573415,1.8759,391.0
2025-11-25 12:08:59.627972,1.9304,375.0
2025-11-25 12:08:59.669663,1.9721,387.0
2025-11-25 12:08:59.726598,2.0291,387.0
2025-11-25 12:08:59.772109,2.0746,380.0
2025-11-25 12:08:59.833252,2.1357,378.0
2025-11-25 12:08:59.876234,2.1787,382.0
2025-11-25 12:08:59.925166,2.2276,378.0
2025-11-25 12:08:59.977196,2.2797,373.0
2025-11-25 12:09:00.018641,2.3211,384.0
2025-11-25 12:09:00.079672,2.3821,373.0
2025-11-25 12:09:00.129246,2.4317,373.0
2025-11-25 12:09:00.172823,2.4753,106.0
2025-11-25 12:09:00.234104,2.5366,455.0
2025-11-25 12:09:00.275745,2.5782,416.0
2025-11-25 12:09:00.319919,2.6224,471.0
2025-11-25 12:09:00.378083,2.6806,384.0
2025-11-25 12:09:00.426054,2.7285,373.0
2025-11-25 12:09:00.469123,2.7716,378.0
2025-11-25 12:09:00.528643,2.8311,384.0
2025-11-25 12:09:00.575681,2.8781,391.0
2025-11-25 12:09:00.628078,2.9305,378.0
2025-11-25 12:09:00.670232,2.9727,371.0
2025-11-25 12:09:00.731538,3.034,378.0
2025-11-25 12:09:00.772954,3.0754,369.0
2025-11-25 12:09:00.830394,3.1328,378.0
2025-11-25 12:09:00.877945,3.1804,375.0
2025-11-25 12:09:00.922222,3.2247,382.0
2025-11-25 12:09:00.977412,3.2799,380.0
2025-11-25 12:09:01.026083,3.3286,396.0
